batch,records_seen,mse,mse_moving_avg_100
256,8192,910.9205587415737,1599.7172211864554
257,8224,3012.353219358457,1624.9828579081711
258,8256,130.9478567674816,1568.273142900888
259,8288,1985.6644741650289,1584.9301528140154
260,8320,586.3485175968675,1572.9341716431518
261,8352,3239.6603079440906,1600.7996862252876
262,8384,400.1099310289488,1582.9245340974192
263,8416,423.67210626699796,1576.4553881748168
264,8448,344.4014689344872,1575.6178190647147
265,8480,324.77099322949704,1574.2810071064505
266,8512,97.70054837361953,1571.6719330788314
267,8544,2565.3995024600736,1592.8289922806748
268,8576,275.1101378403877,1592.351158440188
269,8608,1269.5170097566122,1602.5470558398943
270,8640,1507.0763791077857,1615.8641030040228
271,8672,198.07514310152752,1613.161500892169
272,8704,802.9564307340154,1616.2261944566612
273,8736,1954.8926050442797,1593.0255201400626
274,8768,187.7032802495708,1585.879182721266
275,8800,324.9146680683788,1573.651658890766
276,8832,146.57477635310437,1564.448769392483
277,8864,121.86864579437521,1541.8611529875318
278,8896,1733.2990829969715,1550.2962897448085
279,8928,254.56693590440128,1545.77127791118
280,8960,1275.0538577764628,1553.9861352268463
281,8992,210.05826867101263,1553.083609602741
282,9024,332.9970294289718,1493.4144048042144
283,9056,4050.8423148727607,1523.6866258892223
284,9088,2132.785362490764,1542.067210996785
285,9120,412.40911824373273,1539.6960310495242
286,9152,445.45893123473496,1532.974093311285
287,9184,259.06520804116144,1529.6076588182254
288,9216,876.7606007841854,1522.3409642048894
289,9248,365.7960247916915,1512.834009699519
290,9280,1119.5966854293151,1522.4593782624006
291,9312,302.7332739660074,1523.5390279758976
292,9344,2434.631478827038,1533.6729004339866
293,9376,107633.08093856269,2601.8821821152687
294,9408,326.29943591249935,2599.982734811228
295,9440,628.28179034306,2569.7628147409414
296,9472,2086.475143879172,2587.057600637234
297,9504,240.68671212215784,2584.3110625066474
298,9536,411.45391823432635,2578.568233528352
299,9568,1229.7074259309234,2589.4700317084266
300,9600,995.1909117987346,2589.74274939953
301,9632,326.90365224399716,2590.3563703379104
302,9664,10510.464911014835,2669.9476371635856
303,9696,2707.909149131923,2684.973638652272
304,9728,975.1251181987762,2681.352733709319
305,9760,589.6919859659349,2682.3093881006325
306,9792,6161.962063665943,2735.007873820642
307,9824,795.948333963823,2738.40108711098
308,9856,684.0828284076122,2743.753463901949
309,9888,261.31785164629656,2680.3891262493125
310,9920,815.3139235597756,2680.7641206454928
311,9952,1364.7932081424763,2691.9210051069135
312,9984,296.1935196035091,2594.4590058413496
313,10016,611.7124550486624,2594.8881914887256
314,10048,147.87744292023052,2590.0169420769225
315,10080,5910.152358320839,2632.7661115727824
316,10112,158.62811974172547,2631.5995104064664
317,10144,1575.8544598236067,2636.6169071830604
318,10176,272.38767597875994,2630.640190670556
319,10208,1162.8109949326447,2248.536141689376
320,10240,456.8668591101378,2250.0149211019643
321,10272,957.3383418136516,2229.0124403865934
322,10304,566.9399942176844,2232.4578939326825
323,10336,3740.328634376969,2251.1954803478784
324,10368,377.5241926895111,2244.163629695439
325,10400,772.8795522293082,2244.4016545896684
326,10432,849.5835926668116,2247.450119567437
327,10464,513.304735514696,2250.1030302335807
328,10496,694.980955940889,2248.223215935272
329,10528,521.0642501588903,2248.2183145839117
330,10560,536.1665150800641,2241.120381172334
331,10592,399.48915452391924,2232.4640361470465
332,10624,848.7103501828932,2232.5421656657545
333,10656,850.2449262634999,2238.4374737835246
334,10688,1986.4380489378768,2250.329693200417
335,10720,834.889888693557,2250.905521101103
336,10752,293.92560000496576,2244.057437007661
337,10784,222.08630221108206,2241.192195783202
338,10816,200.73970185639675,2230.623134614832
339,10848,18152.197467654027,2409.8473349966516
340,10880,439.87462605092077,2378.6125070579556
341,10912,1105.6099321974311,2379.497180661659
342,10944,3275.153053200903,2409.3300595761957
343,10976,527.2539216862532,2386.522960017145
344,11008,1362.0561794615382,2395.031728212662
345,11040,2315.9000946575857,2391.2562478499344
346,11072,454.76835545354686,2388.977878475223
347,11104,4813.982951716012,2428.000464587407
348,11136,10950.78397838966,2528.5273220608547
349,11168,694.6387123545667,2530.469369644631
350,11200,1421.7942454483182,2541.7680946757127
351,11232,1395.7926263143468,2550.0274651244927
352,11264,1261.7547350834957,2559.9334168858995
353,11296,995.7263574095938,2568.402707946908
354,11328,351.9034192130343,2552.708214803191
355,11360,374.4106500631364,2514.141019662985
356,11392,422.14504359845665,2509.253264511554
357,11424,205.875674842201,2481.1884890663914
358,11456,1490.1615418595884,2494.7806259173126
359,11488,3207.490637509312,2506.998887550755
360,11520,443.46254864825636,2505.5700278612694
361,11552,1059.4936822850768,2483.768361604679
362,11584,1253.4529514236074,2492.3017918086252
363,11616,315.7224875781474,2491.222295621737
364,11648,644.1253530321886,2494.2195344627135
365,11680,619.7770678899379,2497.169595209318
366,11712,499.4003998131204,2501.186593723713
367,11744,2102.113927755786,2496.5537379766697
368,11776,272.2960966857801,2496.5255975651244
369,11808,15286.24844911124,2636.6929119586703
370,11840,483.46084945148374,2626.456756662107
371,11872,739.4700154688112,2631.87070538578
372,11904,558.0273241564036,2629.421414320004
373,11936,311.67114845806867,2612.9891997541417
374,11968,495.0298173477356,2616.0624651251233
375,12000,150.11767597865057,2614.3144952042267
376,12032,1788.334826375442,2630.7320957044494
377,12064,1378.9868102085666,2643.3032773485916
378,12096,229.98983669777348,2628.2701848855995
379,12128,1619.492203764046,2641.919437564196
380,12160,5231.536687202798,2681.4842658584594
381,12192,6729.212407802407,2746.6758072497737
382,12224,241.14288356898084,2745.7572657911737
383,12256,837.3369610027498,2713.6222122524737
384,12288,1218.9098861183577,2704.4834574887495
385,12320,180.9437010835594,2702.168803317148
386,12352,1446.1697475424382,2712.175911480225
387,12384,1040.486589779098,2719.9901252976038
388,12416,317.2444518599301,2714.3949638083614
389,12448,991.1829664667066,2720.6488332251115
390,12480,779.5788324301219,2717.2486546951195
391,12512,2197.256571408815,2736.1938876695476
392,12544,603.9259917887439,2717.886832799165
393,12576,333.55957699049515,1644.8916191834433
394,12608,296.70218910045185,1644.5956467153228
395,12640,6757.4996375536375,1705.8878251874285
396,12672,190.6359643140874,1686.9294333917776
397,12704,111.28086817987811,1685.6353749523546
398,12736,1611.6765685317719,1697.637601455329
399,12768,11353.670920185179,1798.877236397872
400,12800,779.7402174545862,1796.7227294544302
401,12832,10083.022298570566,1894.2839159176958
402,12864,698.85189650393,1796.1677857725867
403,12896,394.81404886747885,1773.0368347699423
404,12928,287.0064375000364,1766.155647962955
405,12960,407.31214983331864,1764.3318496016288
406,12992,1431.1660769877542,1717.0238897348472
407,13024,723.1800181015565,1716.2962065762244
408,13056,810.2309469626464,1717.557687761775
409,13088,194.8362683284816,1716.8928719285966
410,13120,1703.1322735498907,1725.7710554284977
411,13152,1953.7232727910118,1731.660356074983
412,13184,429.44171672593336,1732.9928380462072
413,13216,447.39708487770736,1731.3496843444977
414,13248,541.2689652145871,1735.2835995674413
415,13280,1148.7897413392363,1687.6699733976254
416,13312,1426.7869844331935,1700.35156204454
417,13344,382.3065561365574,1688.4160830076696
418,13376,2338.300949392987,1709.075215741812
419,13408,1440.5113815825516,1711.8522196083109
420,13440,1241.5505567000894,1719.6990565842104
421,13472,185.53546920005078,1711.9810278580742
422,13504,22799.05330806858,1934.302160996583
423,13536,251.57517955420784,1899.4146264483556
424,13568,663.1383489333616,1902.270768010794
425,13600,1516.851174869827,1909.710484237199
426,13632,250.41092652083094,1903.7187575757393
427,13664,165.64785080049856,1900.2421887285975
