feature,value,avg_prediction
order,251.02562999873763,32.04223958052938
order,262.4358847623503,32.535214687849475
order,273.84616708277144,33.03237749227875
order,285.2564218463841,33.534977600702895
order,296.66667660999684,34.044044747958644
order,308.0769313736095,34.56037117152959
order,319.48718613722224,35.084501054079425
order,330.8974409008349,35.61672796102455
order,342.30769566444764,36.15709427701773
order,353.7179504280603,36.705405574103544
order,365.128205191673,37.26124948135368
order,376.5384599552857,37.824025869874376
order,387.9487147188984,38.392980635067644
order,399.3589694825111,38.96723904597648
order,410.76922424612377,39.5458407839699
order,422.1794790097365,40.12776878879441
order,433.58973377334917,40.71197754534149
order,444.9999885369619,41.29741686379588
duration,1.0025083484972424,7.154796330316941
duration,1.3210303222360693,9.882894442648889
duration,1.6395522959748965,14.613602632360708
duration,1.9580742398723427,21.017625127347646
duration,2.2765962434525506,28.78446187223282
duration,2.595118247032758,37.67768256173495
duration,2.913640071564682,47.421121202719945
duration,3.2321621945104124,57.76170345275021
duration,3.5506840787250975,68.63670179124999
duration,3.869205962939782,80.08870808417511
duration,4.187728085885513,92.14338626205591
duration,4.506249970100198,104.77092877940798
duration,4.824771854314883,117.88773866811853
duration,5.143293977260614,131.37058056374377
duration,5.461816100206344,145.07417045672966
duration,5.780337745689984,158.84759786042255
duration,6.098859868635714,172.54841662878763
duration,6.417381991581444,186.0527401828882
duration,6.735903637065084,199.26039263322085
duration,7.0544257600108145,212.0961312138671
duration,7.372947882956545,224.5079942034004
duration,7.691469528440184,236.463581773788
duration,8.009991651385915,247.94547351682186
duration,8.328513774331645,258.9473653402888
duration,8.647035419815285,269.47141018895144
duration,8.965557542761015,279.5255429767915
duration,9.284079665706747,289.12105733367105
duration,9.602601311190385,298.2712557841376
duration,9.921124389060298,306.99070639619356
duration,10.239646034543938,315.2944338169899
duration,10.558167680027577,323.19777271111144
duration,10.8766902804354,330.7160243922861
duration,11.195211925919038,337.86437967515445
duration,11.513733571402677,344.6579759267658
duration,11.8322561718105,351.11171017807237
duration,12.150777817294138,357.2402495335638
duration,12.469299462777778,363.05820308487023
duration,12.7878220631856,368.58001250273145
duration,13.10634370866924,373.8197878859533
duration,13.424865354152878,378.7912305617833
category,3.161043284904963e-07,17.541010298389562
category,0.8205129524620514,17.52570781621167
