label,batch,memory_mb,delta_from_start_mb
batch,407.0,390.10546875,71.13671875
batch,408.0,390.10546875,71.13671875
batch,409.0,390.109375,71.140625
batch,410.0,390.109375,71.140625
batch,411.0,390.11328125,71.14453125
batch,412.0,390.11328125,71.14453125
batch,413.0,390.11328125,71.14453125
batch,414.0,390.11328125,71.14453125
batch,415.0,390.11328125,71.14453125
batch,416.0,390.1171875,71.1484375
batch,417.0,390.1171875,71.1484375
batch,418.0,390.1171875,71.1484375
batch,419.0,390.1171875,71.1484375
batch,420.0,390.12109375,71.15234375
batch,421.0,390.125,71.15625
batch,422.0,390.125,71.15625
batch,423.0,390.12890625,71.16015625
batch,424.0,390.1328125,71.1640625
batch,425.0,390.1328125,71.1640625
batch,426.0,390.13671875,71.16796875
batch,427.0,390.13671875,71.16796875
batch,428.0,390.13671875,71.16796875
batch,429.0,390.13671875,71.16796875
batch,430.0,390.13671875,71.16796875
batch,431.0,390.13671875,71.16796875
batch,432.0,390.13671875,71.16796875
batch,433.0,390.13671875,71.16796875
batch,434.0,390.13671875,71.16796875
batch,435.0,390.13671875,71.16796875
batch,436.0,390.140625,71.171875
batch,437.0,390.140625,71.171875
batch,438.0,390.14453125,71.17578125
batch,439.0,390.14453125,71.17578125
batch,440.0,390.14453125,71.17578125
batch,441.0,390.14453125,71.17578125
batch,442.0,390.14453125,71.17578125
batch,443.0,390.14453125,71.17578125
batch,444.0,390.14453125,71.17578125
batch,445.0,390.14453125,71.17578125
batch,446.0,390.1484375,71.1796875
batch,447.0,390.1484375,71.1796875
batch,448.0,390.1484375,71.1796875
batch,449.0,390.1484375,71.1796875
batch,450.0,390.1484375,71.1796875
batch,451.0,390.1484375,71.1796875
batch,452.0,390.15625,71.1875
batch,453.0,390.15625,71.1875
batch,454.0,390.16015625,71.19140625
batch,455.0,390.16015625,71.19140625
batch,456.0,390.16015625,71.19140625
batch,457.0,390.1640625,71.1953125
batch,458.0,390.1640625,71.1953125
batch,459.0,390.1640625,71.1953125
batch,460.0,390.1640625,71.1953125
batch,461.0,390.1640625,71.1953125
batch,462.0,390.1640625,71.1953125
batch,463.0,390.1640625,71.1953125
batch,464.0,390.1640625,71.1953125
batch,465.0,390.1640625,71.1953125
batch,466.0,390.16796875,71.19921875
batch,467.0,390.171875,71.203125
batch,468.0,390.171875,71.203125
batch,469.0,390.171875,71.203125
batch,470.0,390.17578125,71.20703125
batch,471.0,390.17578125,71.20703125
batch,472.0,390.17578125,71.20703125
batch,473.0,390.17578125,71.20703125
batch,474.0,390.17578125,71.20703125
batch,475.0,390.17578125,71.20703125
batch,476.0,390.17578125,71.20703125
batch,477.0,390.1796875,71.2109375
batch,478.0,390.1796875,71.2109375
batch,479.0,390.1796875,71.2109375
batch,480.0,390.1796875,71.2109375
batch,481.0,390.1796875,71.2109375
batch,482.0,390.1796875,71.2109375
batch,483.0,390.1796875,71.2109375
batch,484.0,390.1875,71.21875
batch,485.0,390.19140625,71.22265625
batch,486.0,390.19140625,71.22265625
batch,487.0,390.1953125,71.2265625
batch,488.0,390.1953125,71.2265625
batch,489.0,390.1953125,71.2265625
batch,490.0,390.1953125,71.2265625
batch,491.0,390.1953125,71.2265625
batch,492.0,390.1953125,71.2265625
batch,493.0,390.1953125,71.2265625
batch,494.0,390.1953125,71.2265625
batch,495.0,390.1953125,71.2265625
batch,496.0,390.1953125,71.2265625
batch,497.0,390.19921875,71.23046875
batch,498.0,390.19921875,71.23046875
batch,499.0,390.19921875,71.23046875
batch,500.0,390.203125,71.234375
batch,501.0,390.203125,71.234375
batch,502.0,390.203125,71.234375
batch,503.0,390.203125,71.234375
batch,504.0,390.203125,71.234375
batch,505.0,390.203125,71.234375
batch,506.0,390.203125,71.234375
batch,507.0,390.203125,71.234375
batch,508.0,390.203125,71.234375
batch,509.0,390.203125,71.234375
batch,510.0,390.20703125,71.23828125
batch,511.0,390.20703125,71.23828125
batch,512.0,390.2109375,71.2421875
